pageid,name,revision_id,article_rating
27428272,Abdul Baqi Turkistani,1231655023,Stub
29443640,Abdul Ghani Ghani,1227026187,Stub
44482763,Abdul Rahim Ayoubi,1226326055,Start
34682634,Ahmad Wali Massoud,1221720658,Start
52438668,Aimal Faizi,1185105938,Stub
12084570,Amir Muhammad Akhundzada,1247931713,Start
47805901,Aziza Ahmadyar,1195651393,Start
24850187,Azizullah Lodin,1247762293,Start
23672202,Baran Khan Kudezai,1176481824,Start
27663861,Bashir Ahmad Bezan,1248505877,Start
24963809,Cheragh Ali Cheragh,1193992206,Start
15842120,Ezatullah (Nangarhar),1158302291,Stub
273143,Fazel Ahmed Manawi,1234514379,Start
72903967,Gajinder Singh Safri,1212323536,Stub
68918472,Ghulam Ghaus,1158659195,Stub
25630787,Ghulam Muhammad Ghobar,1240993642,Stub
5294659,Hafizullah Shabaz Khail,1238402857,Start
11966231,Haroon al-Afghani,1230459615,B
13368923,Hashmat Ghani Ahmadzai,1207743719,C
25153929,Ismael Balkhi,1244521219,Start
10305348,Jan Baz,1227635806,Stub
71600382,Khadija Zahra Ahmadi,1234741562,Stub
35512380,Mahboba Hoqomal,1243745950,Stub
10483286,Majah Ha Adrif,1233202991,Start
3056711,Masoud Khalili,1246566971,GA
39258771,Mirza Muhammad Ismail,1235165845,C
64024293,Moeen Marastial,1246567093,Start
24781312,Mohammad Daud Miraki,1227103354,C
40960242,Mohammad Ghous Bashiri,1237694188,Start
26027316,Mohammad Gul (Helmand Council),1136611354,Stub
45419022,Mohammad Khan (athlete),1247727443,Stub
27664854,Mohammad Sarwar Ahmedzai,1176429234,Start
14454477,Mohammad Siddiq Chakari,1134129082,Stub
26835722,Muhammad Hashim Esmatullahi,949986748,Stub
70019038,Muqadasa Ahmadzai,1235521766,Start
8575012,Musa Hotak,1246566804,Start
59378987,Nasir Ahmad Durrani,988838315,Stub
22588409,Nasrullah Baryalai Arsalai,1225385278,Start
41835910,Qutbuddin Hilal,1246566795,Start
16351100,Rafiullah Bidar,1197443408,Stub
68487239,Rangina Hamidi,1234743111,C
17013397,Razaq Mamoon,1227180106,Start
6392185,Said Tayeb Jawad,1248976824,C
7493859,Samoud Khan,1195409073,Start
21500352,Sayed Jalal,1137130537,Start
27668571,Sayed Jalal Karim,1136614743,Start
72051141,Sayed Yousuf Halim,1234514565,Stub
52438868,Sayed Zafar Hashemi,1179137138,Start
8054084,Sharif Ghalib,1245967190,Start
46841383,Tayyab Agha,1225661708,Start
27656055,Abdul Ghafor Zori,1136614520,Stub
69128654,Abdul Karim Misaq,1235405154,Stub
27678731,Abdul Majid Samim,1225425205,Stub
627316,Abdul Salam Zaeef,1243758857,GA
68481190,Abdul Sattar Mirzakwal,1145249317,Stub
24671281,Abdul Zahir (Konar Education Minister),1126667481,Stub
68624823,Ahmadullah Wasiq,1171042170,Start
35520084,Ali Mohammad (politician),1136630194,Stub
7249978,Ali Pasha of Gusinje,1244421894,GA
19887970,Azis Tahir Ajdonati,1192928746,Stub
38515087,Baktash Siawash,1236603169,Stub
30319287,Bardhok Biba,1250227174,C
49011996,Bislim Bajgora,1217284690,C
66087536,Daoud Naji,1247131367,Start
41428570,Davood Moradian,1239319380,Stub
2202177,Fazal Hadi Shinwari,1242412237,GA
2333651,Gholam Rabani Nasher,1136534788,Stub
27669652,Ghulam Faroq Nijrabi,1136614778,Stub
25634863,Ghulam Hassan Safi,1176507815,Stub
27657851,Ghulam Mohammad Rigi,1129192917,Stub
27656776,Gul Ahmmad Yama,1136614561,Start
36473152,Hanifa Safi,1123824802,Stub
27666240,Hasan Ali Sultani,1136614726,Stub
41892010,Hysni Curri,1198914812,Start
48684644,Ibrahim Dalliu,1248264998,Start
52237560,Kastriot Berissa,1244463139,Start
40754760,Kostandin Boshnjaku,1250227994,C
23564221,Mohammad Hashem Taufiqui,1233490009,Start
212331,Mohammed Qalamuddin,1178097642,Stub
29170618,Mohammed Tahir Omar,1185088733,Stub
4928280,Mohammed Zaman,1229734414,Start
28566318,Mohammed Zia Salehi,1225457074,Stub
35507800,Nasruddin Mohseni,1136630129,Start
15675174,Neritan Ceka,1184807608,Start
27166018,Niazi Demi,1209346411,Stub
47145503,Pacha Gul Wafadar,1227179979,Stub
13849010,Qari Ziauddin,1245217124,Start
31301973,Refo Çapari,1222381064,Start
51559994,Saber Sangar,1227951669,Stub
28634810,Safet Butka,1189442848,C
41840150,Sardar Mohammad Nadir Naeem,1204109653,Stub
34845573,Sayed Nasim Mihanparast,1172646418,Stub
62554029,Spartak Braho,1224650124,Start
68232272,Suhail Shaheen,1198363158,Start
60567913,Uran Butka,1196422551,Start
52202939,Wahidullah Waissi,1232389768,C
43393251,Ylli Asllani,1221605713,Start
27664625,Zabih-U-llah Ghazi Noristani,1136614682,Start
34497282,Zalmai Mujadidi,1223903677,Start
12829636,Ziauddin (Afghan militia leader),1150044800,Start
20380987,Abas Ermenji,1240801210,Start
20381110,Abdurrahman Dibra,1244008227,Start
5494953,Adrian Neritani,1196135017,Start
63869149,Afrim Tole,1241836925,Stub
28065431,Ahmed Dino,1209165678,Stub
20381295,Alfred Karamuço,1098236555,Stub
26297658,Ali Këlcyra,1227369252,Start
41985495,Aqif Pasha Elbasani,1243882903,GA
31509315,Artur Kuko,1112281132,Stub
68783046,Athanas Shundi,1220369492,C
14069803,Avni Rustemi,1229276965,Start
36774890,Aćif Hadžiahmetović,1229938943,GA
17273406,Bajram Kelmendi,1237006808,Start
19888020,Bedri Pejani,1220757655,C
30070258,Behxhet Nepravishta,1180949734,Stub
51293921,Bujar Dida,1222151681,C
9088115,Chatin Sarachi,1141930406,C
31573475,Eduard Shalsi,1173107489,Start
18022058,Elez Koçi,1174010569,Start
41877968,Ferhat Bey Draga,1236738861,C
10398792,Gjon Markagjoni,1227760361,C
32349836,High Council of Regency,1245450388,C
22352985,Hysni Milloshi,1218412314,Start
65554476,Ibrahim Karbunara,1235824719,C
27611512,Ibrahim Temo,1228151428,GA
41883528,Kadri Prishtina,1198167947,Start
44712134,Kristo Kirka,1237950375,C
40795168,Kryeziu family,1236739222,Start
19887779,Kurt Agë Kadiu,1244486529,Stub
30069896,Mehmed Kalakula,1145510350,Stub
28382311,Mehmet Tahsini,1239924043,Stub
27373846,Mihal Grameno,1226635783,C
58108950,Musa Qazimi,1235824584,GA
32349706,Mustafa Ndroqi,1198219291,Stub
19887761,Nebi Sefa,1244486537,Stub
26992194,Nexhip Draga,1236738502,GA
32349690,Qamil Musa Haxhi Feza,1198224146,Stub
28077287,Rasih Dino,1180949327,Stub
28362818,Sabit Lulo,1180950488,Stub
30559670,Sabri Godo,1230739582,C
33944243,Sali Nivica,1240539074,Start
19887929,Syreja Vlora,1186986269,Start
25589553,Tefik Mborja,1234673487,Start
30489046,Themistokli Gërmenji,1241037317,C
30250352,Thoma Orologa,1180949774,Start
70365511,Xhavid Leskoviku,1180950536,Start
19887745,Xhelal Koprëncka,1209148780,Stub
71208531,Xhelal Sveçla,1217259369,Start
54102033,Ylli Vesel Shehu,1240443327,Stub
15757646,Ymer Prizreni,1215667416,Start
71926293,Abdelhakim Belabed,1218173615,Start
76780000,Abdelkader Zoukh,1250270534,Start
76446110,Abdelkrim Benmbarek,1245801726,Stub
76412962,Abderrahmane Meziane Chérif,1220757834,Start
50042323,Abdeslam Bouchouareb,1203569345,Stub
61607609,Abdyl Ypi,1220281072,Stub
73468106,Aboubakr Belkaid,1176411375,Start
73393142,Ahmed Bidani,1212186965,Start
77040115,Ahmed Hamiani,1226452639,Stub
72041110,Ali Aoun,1214835889,Start
72217382,Aïssa Bekkai,1219685755,Stub
72004407,Basma Azouar,1192088820,Stub
54801060,Benaouda Hadj Hacène Bachterzi,1237478919,Stub
67257964,Bouras Djamel,1226437538,Stub
59054253,Brahim Chibout,1053460621,Stub
71905761,Brahim Djamel Kassali,1172500304,Start
77299043,Chaâbane Aït Abderrahim,1234096174,Start
40934630,Fatiha Serour,1218302579,Start
73464226,Fayçal Bentaleb,1217131488,Stub
73546432,Fazia Dahleb,1244337610,Stub
72225113,Foued Chehat,1242037866,Stub
72374662,Hamza Al Sid Cheikh,1248318178,Stub
71936152,Hocine Cherhabil,1242619010,Stub
69357237,Ibrahim Boughali,1230623499,Stub
63374819,Kamel Beldjoud,1214832676,Stub
71816968,Kamel Bidari,1249963763,GA
59103836,Lamine Bechichi,1111537825,Stub
55668009,Menduh Zavalani,1235824554,FA
54516484,Mohamed Belouizdad,1169278443,Start
59103577,Mohamed Bensalam,1235672021,Stub
71984080,Mohamed Bouslimani,1224118485,Stub
77002608,Mohamed Cherif Belmihoub,1226553342,Start
59079383,Mohamed Seghir Babes,1226280389,Stub
71965500,Mohamed Tarek Belaribi,1241671793,Start
